split,group,n,mean_intensity_mean,mean_intensity_std,std_intensity_mean,std_intensity_std,contrast_p95_p5_mean,contrast_p95_p5_std,entropy_mean,entropy_std,local_var_8x8_mean,local_var_8x8_std,enl_proxy_mean,enl_proxy_std,edge_energy_mean,edge_energy_std
train,real_only,13455,0.1360202619998357,0.07988783098798893,0.16941667551480008,0.06054161851628157,0.4341963968831968,0.27595545741215116,5.813159182497001,0.7314236106366323,0.01690640764621397,0.013026116541688034,0.6750296917536647,0.7687556279447965,0.05918949978320196,0.032089511227831165
train,accepted_stagebsoft_sr,10749,0.1309814297629047,0.07457044543768844,0.15445405266297335,0.055892906994384275,0.3756377857990465,0.2484682884031835,5.387643085853168,0.7614073550422352,0.011715138107669054,0.009069529448697563,0.7494756959206531,0.554194234985923,0.028092863857952333,0.014562120112052856
val,real_only,3263,0.14558259172949037,0.08227883587097191,0.1776681373965017,0.062201148684137376,0.47727024475859786,0.2876576371058203,5.9296004671034925,0.7281899842635826,0.019328131396635976,0.014892759334075634,0.7022976079060546,0.9808007004510761,0.06592886782400573,0.036049046516701676
val,accepted_stagebsoft_sr,2600,0.13917399028029578,0.07594688332224143,0.16070383723252094,0.05716731146374388,0.40710894195524117,0.2544632162963177,5.485536610626954,0.7564678528949426,0.013308570516439012,0.010448259152944863,0.7680547775480123,0.5057123271096966,0.03056539829999495,0.01613648965758948
test,real_only,2675,0.12909048883226987,0.07381465918447247,0.16313799792639563,0.05633319682377762,0.4081612239539554,0.2611965945859564,5.742219698699558,0.7565250969655439,0.01599753039336337,0.012362381536745373,0.6676770354511488,0.7748423915732904,0.05682047507386202,0.03151440809846117
test,accepted_stagebsoft_sr,2154,0.12343092431109347,0.06606584367490874,0.14830724072807788,0.05081020945607335,0.3513511390813964,0.23042845650520963,5.3162538477895085,0.7524333798280669,0.010945959858178657,0.008243591431214213,0.7419037534379903,0.6550171753555423,0.026691795980511104,0.013588829612696758
all,real_only,19393,0.1366733192207208,0.07962096178577702,0.16993898034494553,0.06039844667582363,0.43785265831937026,0.27668062193307347,5.822966060881615,0.7363158632035061,0.017188511392217765,0.013308874596736742,0.6786034995604,0.8091627466319721,0.059996668185185065,0.032828878099043765
all,accepted_stagebsoft_sr,15503,0.13130632614438026,0.07380871864703056,0.1546481574796578,0.0555356733262828,0.3775413895516291,0.24754515529252707,5.394141876127484,0.7607862870030051,0.011875501541417333,0.009233291103931184,0.7515395318313464,0.5616675107774757,0.02831286575057327,0.014750434621235318
